po number,vehicle number,departure time
7007407368,กท.75-6899,2022-03-03 14:25:02
7007407291,กท.61-7782,2022-03-03 14:34:43
7007407130,นม.70-6718,2022-03-03 14:42:47
7007407399,กท.79-7691,2022-03-03 14:53:38
7007403097,กท.79-0144,2022-03-03 15:07:56
7007403055,กท.79-2716,2022-03-03 15:08:02
7007403105,กท.79-1830,2022-03-03 15:20:28
7007407238,นม.70-5975,2022-03-03 15:30:20
7007406416,กท.77-8133,2022-03-03 15:38:01
7007406761,กท.77-8134,2022-03-03 15:39:37
7007403062,กท.76-4825,2022-03-03 15:49:57
7007403107,กท.79-5578,2022-03-03 16:00:21
7007407561,ชม.70-5301,2022-03-03 16:08:52
7007406840,กท.79-0841,2022-03-03 16:20:21
7007408047,กท.75-7868,2022-03-03 16:27:42
7007407927,ชม.70-5420,2022-03-03 16:36:45
7007408050,ชบ.82-4190,2022-03-03 16:57:45
7007408040,ชม.70-5193,2022-03-03 17:05:37
7007408069,ชม.70-5124,2022-03-03 17:13:58
7007407963,ฉช.82-7443,2022-03-03 17:23:37
7007403064,กท.78-6739,2022-03-03 17:33:34
7007403110,กท.79-2717,2022-03-03 17:59:14
7007408108,ชบ.84-7975,2022-03-03 18:16:12
7007408138,กท.79-3258,2022-03-03 18:25:16
7007403065,กท.79-5584,2022-03-03 18:31:34
7007408480,ชม.70-5194,2022-03-03 18:39:42
7007403050,กท.79-0641,2022-03-03 18:45:47
7007408454,กท.72-3498,2022-03-03 18:53:54
7007406980,กท.79-0644,2022-03-03 19:16:50
7007408749,กท.61-4783,2022-03-03 19:25:17
7007408664,กท.79-8995,2022-03-03 19:34:18
7007408439,กท.79-5841,2022-03-03 19:53:49
7007408840,ชม.70-4355,2022-03-03 20:05:03
7007409051,กท.79-6704,2022-03-03 20:07:04
7007408956,กท.75-7868,2022-03-03 20:20:30
7007406762,กท.78-1149,2022-03-03 20:27:34
7007406810,ฉช.81-4230,2022-03-03 20:50:40
7007406413,กท.79-5843,2022-03-03 21:02:48
